route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8165,1,5364144,Sloat & 47th Av.,0,409352,95874
8165,1,5364143,Sloat & 47th Av.,0,409351,95874
8165,1,5364106,Sloat & 47th Av.,0,409352,95874
8165,1,5364105,Sloat & 47th Av.,0,409351,95874
8165,3,5364414,San Francisco Zoo,0,409377,95875
8165,3,5364413,San Francisco Zoo,0,409376,95875
8165,3,5364412,San Francisco Zoo,0,409375,95875
8165,3,5364411,San Francisco Zoo,0,409374,95875
8165,3,5364410,San Francisco Zoo,0,409377,95875
8165,3,5364409,San Francisco Zoo,0,409376,95875
8165,3,5364408,San Francisco Zoo,0,409375,95875
8165,3,5364407,San Francisco Zoo,0,409374,95875
8165,3,5364406,San Francisco Zoo,0,409377,95875
8165,3,5364405,San Francisco Zoo,0,409376,95875
8165,3,5364404,San Francisco Zoo,0,409375,95875
8165,3,5364403,San Francisco Zoo,0,409374,95875
8165,3,5364402,San Francisco Zoo,0,409377,95875
8165,3,5364401,San Francisco Zoo,0,409376,95875
8165,3,5364400,San Francisco Zoo,0,409375,95875
8165,3,5364399,San Francisco Zoo,0,409374,95875
8165,3,5364398,San Francisco Zoo,0,409377,95875
8165,3,5364397,San Francisco Zoo,0,409376,95875
8165,3,5364396,San Francisco Zoo,0,409375,95875
8165,3,5364395,San Francisco Zoo,0,409374,95875
8165,3,5364394,San Francisco Zoo,0,409377,95875
8165,3,5364393,San Francisco Zoo,0,409376,95875
8165,3,5364392,San Francisco Zoo,0,409375,95875
8165,3,5364391,San Francisco Zoo,0,409374,95875
8165,2,5364247,San Francisco Zoo,0,409361,95875
8165,2,5364234,San Francisco Zoo,0,409363,95875
8165,3,5364426,Sloat & 47th Av.,0,409379,95874
8165,3,5364425,Sloat & 47th Av.,0,409380,95874
8165,2,5364228,San Francisco Zoo,0,409361,95875
8165,2,5364227,San Francisco Zoo,0,409360,95875
8165,2,5364226,San Francisco Zoo,0,409363,95875
8165,2,5364225,San Francisco Zoo,0,409362,95875
8165,2,5364224,San Francisco Zoo,0,409361,95875
8165,2,5364223,San Francisco Zoo,0,409360,95875
8165,2,5364222,San Francisco Zoo,0,409363,95875
8165,2,5364221,San Francisco Zoo,0,409362,95875
8165,2,5364220,San Francisco Zoo,0,409361,95875
8165,2,5364219,San Francisco Zoo,0,409363,95875
8165,2,5364218,San Francisco Zoo,0,409362,95875
8165,2,5364217,San Francisco Zoo,0,409360,95875
8165,2,5364216,San Francisco Zoo,0,409360,95875
8165,2,5364215,San Francisco Zoo,0,409363,95875
8165,2,5364214,San Francisco Zoo,0,409362,95875
8165,2,5364213,San Francisco Zoo,0,409361,95875
8165,2,5364212,San Francisco Zoo,0,409360,95875
8165,1,5364142,San Francisco Zoo,0,409356,95875
8165,1,5364141,San Francisco Zoo,0,409355,95875
8165,1,5364140,San Francisco Zoo,0,409354,95875
8165,1,5364139,San Francisco Zoo,0,409353,95875
8165,1,5364138,San Francisco Zoo,0,409352,95875
8165,1,5364137,San Francisco Zoo,0,409351,95875
8165,1,5364136,San Francisco Zoo,0,409356,95875
8165,1,5364135,San Francisco Zoo,0,409355,95875
8165,1,5364134,San Francisco Zoo,0,409354,95875
8165,1,5364133,San Francisco Zoo,0,409353,95875
8165,1,5364132,San Francisco Zoo,0,409352,95875
8165,1,5364131,San Francisco Zoo,0,409351,95875
8165,1,5364130,San Francisco Zoo,0,409356,95875
8165,1,5364129,San Francisco Zoo,0,409355,95875
8165,1,5364128,San Francisco Zoo,0,409354,95875
8165,1,5364127,San Francisco Zoo,0,409353,95875
8165,1,5364126,San Francisco Zoo,0,409352,95875
8165,1,5364125,San Francisco Zoo,0,409351,95875
8165,1,5364124,San Francisco Zoo,0,409355,95875
8165,1,5364123,San Francisco Zoo,0,409354,95875
8165,1,5364122,San Francisco Zoo,0,409353,95875
8165,1,5364121,San Francisco Zoo,0,409352,95875
8165,1,5364120,San Francisco Zoo,0,409351,95875
8165,1,5364119,San Francisco Zoo,0,409355,95875
8165,1,5364118,San Francisco Zoo,0,409354,95875
8165,1,5364117,San Francisco Zoo,0,409353,95875
8165,1,5364116,San Francisco Zoo,0,409352,95875
8165,1,5364115,San Francisco Zoo,0,409351,95875
8165,1,5364114,San Francisco Zoo,0,409355,95875
8165,1,5364113,San Francisco Zoo,0,409354,95875
8165,1,5364112,San Francisco Zoo,0,409353,95875
8165,1,5364111,San Francisco Zoo,0,409352,95875
8165,1,5364110,San Francisco Zoo,0,409351,95875
8165,1,5364109,San Francisco Zoo,0,409355,95875
8165,1,5364108,San Francisco Zoo,0,409354,95875
8165,1,5364107,San Francisco Zoo,0,409353,95875
8165,3,5364427,the Bayview District,1,409374,95876
8165,2,5364248,the Bayview District,1,409360,95876
8165,1,5364202,the Bayview District,1,409353,95876
8165,1,5364201,the Bayview District,1,409352,95876
8165,1,5364200,the Bayview District,1,409351,95876
8165,1,5364199,the Bayview District,1,409355,95876
8165,3,5364424,Sloat & 47th Av.,0,409378,95874
8165,3,5364423,Sloat & 47th Av.,0,409379,95874
8165,3,5364422,Sloat & 47th Av.,0,409375,95874
8165,3,5364421,Sloat & 47th Av.,0,409378,95874
8165,3,5364420,Sloat & 47th Av.,0,409376,95874
8165,3,5364458,the Bayview District,1,409376,95877
8165,3,5364457,the Bayview District,1,409375,95877
8165,3,5364456,the Bayview District,1,409377,95877
8165,3,5364455,the Bayview District,1,409376,95877
8165,3,5364454,the Bayview District,1,409375,95877
8165,2,5364284,the Bayview District,1,409366,95877
8165,2,5364283,the Bayview District,1,409364,95877
8165,2,5364282,the Bayview District,1,409365,95877
8165,2,5364281,the Bayview District,1,409366,95877
8165,2,5364280,the Bayview District,1,409364,95877
8165,2,5364279,the Bayview District,1,409362,95877
8165,2,5364278,the Bayview District,1,409361,95877
8165,2,5364277,the Bayview District,1,409363,95877
8165,2,5364276,the Bayview District,1,409362,95877
8165,2,5364275,the Bayview District,1,409361,95877
8165,1,5364210,the Bayview District,1,409352,95877
8165,1,5364209,the Bayview District,1,409357,95877
8165,1,5364208,the Bayview District,1,409358,95877
8165,1,5364207,the Bayview District,1,409355,95877
8165,1,5364206,the Bayview District,1,409355,95877
8165,1,5364205,the Bayview District,1,409357,95877
8165,1,5364204,the Bayview District,1,409353,95877
8165,1,5364203,the Bayview District,1,409354,95877
8165,1,5364198,the Bayview District,1,409355,95877
8165,1,5364197,the Bayview District,1,409353,95877
8165,1,5364196,the Bayview District,1,409352,95877
8165,1,5364159,the Bayview District,1,409352,95877
8165,1,5364158,the Bayview District,1,409355,95877
8165,1,5364157,the Bayview District,1,409351,95877
8165,3,5364453,the Bayview District,1,409377,95878
8165,3,5364452,the Bayview District,1,409376,95878
8165,3,5364451,the Bayview District,1,409375,95878
8165,3,5364450,the Bayview District,1,409374,95878
8165,3,5364449,the Bayview District,1,409377,95878
8165,3,5364448,the Bayview District,1,409376,95878
8165,3,5364447,the Bayview District,1,409375,95878
8165,3,5364446,the Bayview District,1,409374,95878
8165,3,5364445,the Bayview District,1,409377,95878
8165,3,5364444,the Bayview District,1,409376,95878
8165,3,5364443,the Bayview District,1,409375,95878
8165,3,5364442,the Bayview District,1,409374,95878
8165,3,5364441,the Bayview District,1,409377,95878
8165,3,5364440,the Bayview District,1,409376,95878
8165,3,5364439,the Bayview District,1,409375,95878
8165,3,5364438,the Bayview District,1,409374,95878
8165,3,5364437,the Bayview District,1,409377,95878
8165,3,5364436,the Bayview District,1,409376,95878
8165,3,5364435,the Bayview District,1,409375,95878
8165,3,5364434,the Bayview District,1,409374,95878
8165,3,5364433,the Bayview District,1,409377,95878
8165,3,5364432,the Bayview District,1,409376,95878
8165,3,5364431,the Bayview District,1,409375,95878
8165,3,5364430,the Bayview District,1,409374,95878
8165,3,5364429,the Bayview District,1,409377,95878
8165,3,5364428,the Bayview District,1,409376,95878
8165,2,5364274,the Bayview District,1,409363,95878
8165,2,5364273,the Bayview District,1,409362,95878
8165,2,5364272,the Bayview District,1,409361,95878
8165,2,5364271,the Bayview District,1,409360,95878
8165,2,5364233,San Francisco Zoo,0,409362,95875
8165,2,5364232,San Francisco Zoo,0,409361,95875
8165,2,5364231,San Francisco Zoo,0,409360,95875
8165,2,5364230,San Francisco Zoo,0,409363,95875
8165,2,5364229,San Francisco Zoo,0,409362,95875
8165,2,5364270,the Bayview District,1,409363,95878
8165,2,5364269,the Bayview District,1,409362,95878
8165,2,5364268,the Bayview District,1,409361,95878
8165,2,5364267,the Bayview District,1,409360,95878
8165,2,5364266,the Bayview District,1,409363,95878
8165,2,5364265,the Bayview District,1,409362,95878
8165,2,5364264,the Bayview District,1,409361,95878
8165,2,5364263,the Bayview District,1,409360,95878
8165,2,5364262,the Bayview District,1,409363,95878
8165,2,5364261,the Bayview District,1,409362,95878
8165,2,5364260,the Bayview District,1,409361,95878
8165,2,5364259,the Bayview District,1,409360,95878
8165,2,5364258,the Bayview District,1,409363,95878
